provider_id,provider_name,programme_name,major_name,specialisation_name,study_stage,qualification_level,fee_year,student_type,tuition_fee_nzd,total_estimated_fee_nzd,fee_basis,calculation_method,source_link,last_checked,notes
7002.0,University of Waikato,Master of Cyber Security,,,Postgraduate,Master,2026,International,46008.0,,"per $46,008 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 7; page_title=International tuition costs :: University of Waikato; raw=Master of Cyber Security | $46,008 | $69,012 | $48,308 | $72,463"
7002.0,University of Waikato,Master of Data Science,,,Postgraduate,Master,2026,International,71789.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 8; page_title=International tuition costs :: University of Waikato; raw=Master of Data Science | $71,789"
7002.0,University of Waikato,Master of Design,,,Postgraduate,Master,2026,International,50610.0,,"per $50,610 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 9; page_title=International tuition costs :: University of Waikato; raw=Master of Design | $50,610 | $75,915 | $53,141 | $79,711"
7002.0,University of Waikato,Master of Digital Business,,,Postgraduate,Master,2026,International,39840.0,,"per $39,840 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 10; page_title=International tuition costs :: University of Waikato; raw=Master of Digital Business | $39,840 | $59,760 | $41,832 | $62,748"
7002.0,University of Waikato,Master of Disability and Inclusion Studies,,,Postgraduate,Master,2026,International,39580.0,,"per $39,580 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 11; page_title=International tuition costs :: University of Waikato; raw=Master of Disability and Inclusion Studies | $39,580 | $59,760 | $41,559 | $62,748"
7002.0,University of Waikato,Master of Education,,,Postgraduate,Master,2026,International,39580.0,,"per $39,580 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 12; page_title=International tuition costs :: University of Waikato; raw=Master of Education | $39,580 | $59,370 | $41,559 | $62,339"
7002.0,University of Waikato,Master of Educational Leadership,,,Postgraduate,Master,2026,International,39580.0,,"per $39,580 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 13; page_title=International tuition costs :: University of Waikato; raw=Master of Educational Leadership | $39,580 | $59,370 | $41,559 | $62,339"
7002.0,University of Waikato,Master of Educational Management,,,Postgraduate,Master,2026,International,39840.0,,"per $39,840 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 14; page_title=International tuition costs :: University of Waikato; raw=Master of Educational Management | $39,840 | $59,760 | $41,832 | $62,748"
7002.0,University of Waikato,Master of Engineering,,,Postgraduate,Master,2026,International,53640.0,,"per $53,640 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 15; page_title=International tuition costs :: University of Waikato; raw=Master of Engineering | $53,640 | $56,322 | $84,483"
7002.0,University of Waikato,Master of Engineering Practice,,,Postgraduate,Master,2026,International,50445.0,,"per $50,445 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 16; page_title=International tuition costs :: University of Waikato; raw=Master of Engineering Practice | $50,445 | $75,668 | $52,967 | $79,451"
